# wl(microns), RX, emissivity
0.10000,1.0000,0.03000
1.0000,1.0000,0.03000
2.0000,1.0000,0.03000
3.0000,1.0000,0.03000
4.0000,1.0000,0.03000
5.0000,1.0000,0.03000
6.0000,1.0000,0.03000
7.0000,1.0000,0.03000
8.0000,1.0000,0.03000
9.0000,1.0000,0.03000
10.0000,1.0000,0.03000
12.0000,1.0000,0.03000
13.0000,1.0000,0.03000
14.0000,1.0000,0.03000
15.0000,1.0000,0.03000
16.0000,1.0000,0.03000
17.0000,1.0000,0.03000
18.0000,1.0000,0.03000
19.0000,1.0000,0.03000
20.0000,1.0000,0.03000
21.0000,1.0000,0.03000
22.0000,1.0000,0.03000
23.0000,1.0000,0.03000
24.0000,1.0000,0.03000
25.0000,1.0000,0.03000
26.0000,1.0000,0.03000
27.0000,1.0000,0.03000
28.0000,1.0000,0.03000
29.0000,1.0000,0.03000
30.0000,1.0000,0.03000
