# Freq,Yaw,Pitch
# Hz,deg**2/Hz,deg**2/Hz
0,0,0
0.0002777778,3.47E-11,3.47E-11
0.0005433889,3.47E-11,3.47E-11
0.0010629773,3.47E-11,3.47E-11
0.0020793963,3.47E-11,3.47E-11
0.004067715,3.47E-11,3.47E-11
0.0079572641,3.47E-11,3.47E-11
0.015566,3.47E-11,3.47E-11
0.0304502092,3.47E-11,3.47E-11
0.0595666993,3.47E-11,3.47E-11
0.1165243772,3.47E-11,3.47E-11
0.2279449867,3.47E-11,3.47E-11
0.4459059829,3.47E-11,3.47E-11
0.8722812838,3.47E-11,3.47E-11
1.7063566473,3.47E-11,3.47E-11
3.3379748735,3.47E-11,3.47E-11
6.5297464475,3.47E-11,3.47E-11
12.7734900006,3.47E-11,3.47E-11
24.9875011392,3.47E-11,3.47E-11
